max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,20,5,0,0.3,0.202027604115334,0.200058754687291,0.00926858811572491,0.773813515092775,0.770075794296829,0.013131453958583,19490250,4768750,14721500
2,20,10,5,0.3,0.199996507830035,0.195045011716475,0.0088719151542591,0.774515874259301,0.766577178769366,0.0140782932370233,19334000,4602000,14732000
2,20,5,5,0.3,0.20158614046183,0.197572976659536,0.0095735454936814,0.773224354316072,0.766918780287537,0.0140128440602128,19426750,4672250,14754500
2,20,10,0,0.3,0.201437801768637,0.197333223596671,0.0101315691227686,0.773400504552946,0.766820446067381,0.0151167689839092,19418250,4660750,14757500
2,20,5,10,0.3,0.202358564009675,0.19889774399385,0.0103075593599161,0.773625500570721,0.768117193040436,0.0145317779739591,19523500,4721500,14802000
2,20,0,10,0.3,0.203000516607799,0.198335512060222,0.00960495395020472,0.773039223466718,0.765946531450856,0.0142060948027132,19552250,4679750,14872500
2,20,0,0,0.3,0.204063377992864,0.199643643279467,0.0105619227290555,0.772487042020776,0.765986717220159,0.0162090904184382,19627250,4714750,14912500
2,20,10,10,0.3,0.202299281351412,0.196860292562628,0.00931164385943794,0.774623718413486,0.76615689185699,0.0145957334332857,19566250,4643750,14922500
2,20,0,5,0.3,0.206654854088627,0.202783742704653,0.0105048320811317,0.772400563440727,0.766386047136111,0.0144943803352387,19859500,4791750,15067750
3,20,10,10,0.3,0.210507653603247,0.205852831170687,0.0068894264007233,0.782873993980093,0.775877609381479,0.00911176026308318,20789500,4992750,15796750
3,20,5,10,0.3,0.213291438546306,0.20729698245082,0.00938193067804002,0.78193434452653,0.772948468263877,0.0123695653280928,20986250,4983500,16002750
3,20,10,5,0.3,0.210593976537915,0.204766025827677,0.0103455962486017,0.786779969130797,0.778530548222723,0.0151209740197283,21010750,5e+06,16010750
3,20,10,0,0.3,0.212508652745445,0.207095564641347,0.00956411928082818,0.787066743790435,0.779084214186997,0.0138929521308154,21205500,5064750,16140750
2,30,10,10,0.3,0.217633885912529,0.212877378675816,0.00948491594934426,0.780559126134736,0.773897185111144,0.0123103359912319,21282250,5124750,16157500
2,20,10,10,0.5,0.217683841885261,0.212867085061668,0.00895691141240816,0.781082552709638,0.773548305401037,0.0130530475290965,21315000,5114250,16200750
2,30,5,10,0.3,0.218673343972752,0.213015201104589,0.009317660307842,0.779964191032699,0.771850509592628,0.0119255421061655,21337250,5097500,16239750
2,30,5,0,0.3,0.219437561430468,0.215187481866131,0.00853193130541211,0.781149994016082,0.775243104289724,0.0118923678496563,21467750,5191250,16276500
3,20,0,10,0.3,0.2173430229988,0.210577666176844,0.0100168941249222,0.781616240466133,0.771626480234539,0.0141867971379784,21322250,5041000,16281250
3,20,5,5,0.3,0.21513911921005,0.206628562408034,0.0113091457785713,0.783883533767977,0.771666251187697,0.014986734467286,21261750,4954750,16307000
2,30,10,5,0.3,0.217126125246257,0.210647837612774,0.00863097570356616,0.78311757577469,0.774013486217165,0.0119774475238094,21388250,5077750,16310500
2,30,10,0,0.3,0.217589538521091,0.211931358008068,0.00973730521249688,0.783214307705268,0.775164870736679,0.0119811887243428,21433500,5121500,16312000
2,30,5,5,0.3,0.218622345021052,0.212301154292543,0.00977851268068003,0.782469516903016,0.773467073785793,0.0123305357628118,21479000,5104750,16374250
