feature,k_test_p_value,k_test_h0_rejected,psi,psi_change
cliente_edad,0.737291186470548,FALSE,6.99779443749367e-06,TRUE
mprestamos_personales,0.268119470457765,FALSE,,
cpayroll_trx,0.213235107630326,FALSE,,
Visa_status,0.000676070755513902,TRUE,,
mtarjeta_visa_consumo,0.000290806395594534,TRUE,0.000129406674749388,TRUE
Visa_fechaalta,1.88102668818857e-06,TRUE,7.78945702700049e-05,TRUE
cproductos,3.19386835201385e-07,TRUE,,
Visa_mpagominimo,2.13475701893451e-07,TRUE,0.000735415422436876,TRUE
ctrx_quarter,6.14106432372807e-10,TRUE,0.00141227135786314,TRUE
mcaja_ahorro,6.92088608644781e-11,TRUE,0.000376396720429697,TRUE
ctarjeta_visa_transacciones,3.48610029732299e-13,TRUE,0.00141180218671511,TRUE
mpayroll,0,TRUE,0.00865369257201172,TRUE
mpasivos_margen,0,TRUE,0.0635401672729346,TRUE
mcuentas_saldo,0,TRUE,0.00282929435623435,TRUE
Visa_msaldototal,0,TRUE,0.00354481381107713,TRUE
mactivos_margen,0,TRUE,0.0477401870891858,TRUE
ctarjeta_debito_transacciones,0,TRUE,0.0064169600242532,TRUE
mrentabilidad_annual,0,TRUE,0.00171255549184892,TRUE
mcuenta_corriente,0,TRUE,,
Visa_msaldopesos,0,TRUE,0.00417104728818749,TRUE
