feature,auc,auc_norm
internet,0.992034507243239,1
Visa_delinquency,0.990581219129821,0.72155510859996
Visa_fultimo_cierre,0.99054819213054,0.715227251691762
cliente_edad,0.989489224998907,0.512332873597547
ccomisiones_mantenimiento,0.989455498953435,0.505871081897757
ccuenta_debitos_automaticos,0.989455040802624,0.505783301813519
cprestamos_prendarios,0.989453554672385,0.505498564486514
Master_msaldopesos,0.989441789010658,0.503244305078607
catm_trx_other,0.989437162686375,0.502357917616629
Visa_mconsumospesos,0.989435898961555,0.502115792385563
ctarjeta_visa_transacciones,0.989415665972681,0.49823922287546
cinversion1,0.989405732408047,0.496335986827495
ccheques_depositados,0.989397869768953,0.494829532829403
ccajas_extracciones,0.989389164456524,0.493161625584235
ccuenta_corriente,0.989385199069427,0.492401871362443
tcuentas,0.989384585263099,0.492284268228679
ctarjeta_master_descuentos,0.989366362812119,0.48879291070826
cproductos,0.989190241150306,0.455048619714551
Master_mpagospesos,0.989173996279833,0.45193615966426
Visa_msaldopesos,0.989173422093721,0.451826147624667
mtransferencias_emitidas,0.98917108679933,0.451378713432368
tpaquete4,0.989169993788793,0.451169296457476
mcheques_emitidos,0.989167946204316,0.450776986473053
ccaja_ahorro,0.989166684868486,0.450535318963963
cpagodeservicios,0.989164924575277,0.450198052975953
mpasivos_margen,0.989162634245332,0.449759233813614
Master_mpagado,0.98916180302566,0.449599975047729
Visa_mlimitecompra,0.989161093455768,0.44946402395184
Master_msaldototal,0.989160508712185,0.449351989137848
Visa_mconsumosdolares,0.989158623001554,0.448990693612973
matm,0.989158174158937,0.448904696946011
mprestamos_personales,0.989155020106029,0.448300391501553
mplazo_fijo_dolares,0.989153558442479,0.44802034190588
Master_mconsumosdolares,0.989151187513183,0.447566080191337
Master_status,0.989150271977448,0.447390666764355
Visa_status,0.989148944185453,0.447136266487856
cliente_antiguedad,0.989147790947429,0.446915310138251
Visa_mpagospesos,0.989147318533375,0.446824797267088
Master_mfinanciacion_limite,0.989145080779729,0.446396051538534
ctarjeta_master,0.989141708215749,0.445749880140979
active_quarter,0.98914055048015,0.445528062071932
Visa_msaldototal,0.98913846917403,0.44512929113913
Visa_Fvencimiento,0.989138077169936,0.445054184533404
mcuenta_corriente,0.989136008403815,0.444657816220465
ccheques_depositados_rechazados,0.989135695767035,0.444597916112939
cseguro_auto,0.989133807945443,0.44423621613522
catm_trx,0.989133122596363,0.444104905661838
cinversion2,0.989132019854764,0.443893624249742
cprestamos_personales,0.98913098073151,0.443694531888834
target,0.989126832646618,0.442899773412035
mprestamos_prendarios,0.989125508459213,0.442646063762402
mcaja_ahorro_dolares,0.989122510016582,0.442071572699681
Visa_mfinanciacion_limite,0.989118515352619,0.441306209133214
cseguro_vida,0.98911799761421,0.441207012274985
mcheques_depositados_rechazados,0.989115976501371,0.440819774163195
ctarjeta_visa,0.989114174967127,0.440474606537936
mtarjeta_master_consumo,0.989113449546184,0.440335618436525
mrentabilidad_annual,0.989111267050653,0.43991745996846
cplazo_fijo,0.989109809729786,0.439638242415703
mextraccion_autoservicio,0.989108830791843,0.439450681348706
Master_Finiciomora,0.989093530301297,0.436519161170978
Visa_mconsumototal,0.98885425803737,0.390675436909304
Master_mconsumospesos,0.98885372031401,0.390572411004786
Master_cadelantosefectivo,0.988853651709123,0.390559266549654
cforex_sell,0.988853504442849,0.390531050849449
Visa_cconsumos,0.988853397186428,0.390510500896513
chomebanking_transacciones,0.988853388719277,0.390508878620185
mtarjeta_master_descuentos,0.988853377280119,0.390506686917603
mcuentas_saldo,0.988853328792541,0.390497396868301
cliente_vip,0.988853322852398,0.390496258757849
Master_madelantodolares,0.988853317601869,0.390495252774786
mcomisiones_otras,0.988853253588957,0.390482988126046
mpayroll,0.988853211288496,0.39047488350644
ctarjeta_visa_descuentos,0.988853197367417,0.390472216276629
mdescubierto_preacordado,0.988853174521588,0.390467839096139
cpayroll2_trx,0.988853172754652,0.390467500557599
Master_madelantopesos,0.988853157845102,0.390464643940205
cmobile_app_trx,0.988853062753006,0.390446424628986
Visa_fechaalta,0.988853062731645,0.390446420536267
ctarjeta_debito,0.988853056545269,0.390445235248432
Visa_msaldodolares,0.988853046294165,0.390443271173028
ctransferencias_recibidas,0.988852951447575,0.390425098899885
ctrx_quarter,0.98885293484682,0.390421918253698
ccallcenter_transacciones,0.988852899919562,0.390415226313779
mttarjeta_master_debitos_automaticos,0.988852884765137,0.390412322779322
mtransferencias_recibidas,0.988852832028681,0.390402218659806
Master_delinquency,0.988852813852686,0.390398736203059
ccajas_depositos,0.9888527847559,0.390393161361197
Master_cconsumos,0.988852776597959,0.390391598328437
ccajeros_propios_descuentos,0.988852748476499,0.390386210355614
ctarjeta_debito_transacciones,0.988852747069704,0.390385940818552
Visa_mpagado,0.988852740413403,0.390384665494784
cextraccion_autoservicio,0.98885272275252,0.390381281731632
ccheques_emitidos,0.988852669942662,0.390371163548646
