fold,max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,20,0,0,0.3,0.204580831665555,0.190507293707816,0.0140735379577386,0.7814528022654,0.764919724545641,0.0165330777197593,20155000,4468750,15686250,175,3250,43529,117
1,2,20,0,0,0.5,0.225412339645693,0.215485756026297,0.00992658361939677,0.786637855300326,0.773560397813443,0.0130774574868829,22277500,5176250,17101250,177,2762,44017,115
1,2,20,0,0,0.7,0.23377198532203,0.224464060529634,0.00930792479239537,0.788575704213108,0.776801190207408,0.0117745140056996,23032500,5403750,17628750,178,2619,44160,114
1,2,20,0,0,1,0.236197883462961,0.215094339622642,0.0211035438403191,0.789757871322266,0.764633183371417,0.0251246879508489,23282500,5041250,18241250,171,2636,44143,121
1,2,20,0,5,0.3,0.205055239370606,0.191679372685689,0.0133758666849166,0.781198410050372,0.766664118983258,0.0145342910671143,20187500,4521250,15666250,176,3247,43532,116
1,2,20,0,5,0.5,0.225426110330503,0.215538236726741,0.00988787360376145,0.786640527453815,0.773571086370275,0.0130694410835402,22278750,5177500,17101250,177,2761,44018,115
1,2,20,0,5,0.7,0.239152826058967,0.222533062054934,0.0166197640040335,0.791025547343056,0.77198486061097,0.0190406867320863,23572500,5295000,18277500,175,2589,44190,117
1,2,20,0,5,1,0.232260880409029,0.213884135908091,0.0183767445009376,0.790540290675392,0.770285380074832,0.0202549106005607,23042500,5096250,17946250,175,2748,44031,117
1,2,20,0,10,0.3,0.199816632509977,0.186361711139348,0.0134549213706296,0.78212620095912,0.765263918038389,0.016862282920731,19712500,4357500,15355000,176,3378,43401,116
1,2,20,0,10,0.5,0.224063092254081,0.215131737974378,0.00893135427970326,0.78451882156933,0.774962758432466,0.00955606313686397,22043750,5188750,16855000,178,2791,43988,114
1,2,20,0,10,0.7,0.229019180734556,0.208827717133365,0.0201914636011906,0.794402659762749,0.770693704908566,0.0237089548541833,23031250,4992500,18038750,176,2870,43909,116
1,2,20,0,10,1,0.235403091861505,0.220994475138122,0.0144086167233835,0.78812036285282,0.773173450093371,0.0149469127594493,23122500,5282500,17840000,176,2638,44141,116
1,2,20,5,0,0.3,0.202094122945283,0.192392746572313,0.00970137637296947,0.774297786431976,0.763955594756692,0.0103421916752841,19535000,4507500,15027500,174,3180,43599,118
1,2,20,5,0,0.5,0.222016374828184,0.205640423031727,0.0163759517964565,0.787821635310349,0.768532456754538,0.0192891785558106,22073750,4891250,17182500,175,2912,43867,117
1,2,20,5,0,0.7,0.231004557657489,0.213864306784661,0.0171402508728281,0.788442634172304,0.768808199557992,0.0196344346143126,22818750,5075000,17743750,174,2726,44053,118
1,2,20,5,0,1,0.233938771580771,0.215122199592668,0.0188165719881034,0.784869395295326,0.761689510894568,0.0231798844007582,22813750,5e+06,17813750,169,2591,44188,123
1,2,20,5,5,0.3,0.203468601224212,0.192307692307692,0.0111609089165199,0.774618444850596,0.762489102796683,0.0121293420539126,19685000,4487500,15197500,173,3157,43622,119
1,2,20,5,5,0.5,0.221894381887156,0.206465313827277,0.015429068059879,0.785573800578283,0.768714162220666,0.0168596383576172,21931250,4912500,17018750,175,2895,43884,117
1,2,20,5,5,0.7,0.226216022889843,0.205447288095797,0.0207687347940455,0.794598802234652,0.768489702527214,0.0261090997074385,22820000,4886250,17933750,175,2916,43863,117
1,2,20,5,5,1,0.233987769552623,0.210298241141983,0.02368952841064,0.784130805665258,0.754850884382906,0.0292799212823527,22771250,4806250,17965000,165,2590,44189,127
1,2,20,5,10,0.3,0.203705802357208,0.192307692307692,0.0113981100495153,0.775038510581911,0.762489102796683,0.012549407785228,19730000,4487500,15242500,173,3157,43622,119
1,2,20,5,10,0.5,0.22144451819224,0.204802259887006,0.0166422583052347,0.784372390761084,0.766884259328401,0.0174881314326829,21823750,4850000,16973750,174,2906,43873,118
1,2,20,5,10,0.7,0.230487496842637,0.213505461767627,0.0169820350750104,0.784618750501029,0.765789707183325,0.0188290433177035,22545000,5025000,17520000,172,2688,44091,120
1,2,20,5,10,1,0.235224352638861,0.217845030002609,0.0173793226362526,0.779487630125639,0.75925888914561,0.0202287409800294,22568750,5018750,17550000,167,2498,44281,125
1,2,20,10,0,0.3,0.196943607404219,0.185106833086524,0.0118367743176945,0.778137181405179,0.76348745793028,0.0146497234748999,19210000,4301250,14908750,175,3384,43395,117
1,2,20,10,0,0.5,0.216461628588166,0.20670647680294,0.00975515178522654,0.785198102203648,0.776089376248035,0.00910872595561274,21452500,5017500,16435000,180,3006,43773,112
1,2,20,10,0,0.7,0.228877601585728,0.21824423737126,0.010633364214468,0.787672516333996,0.775593383285498,0.0120791330484973,22610000,5262500,17347500,178,2732,44047,114
1,2,20,10,0,1,0.236039147956246,0.212174791614044,0.0238643563422024,0.788607232421348,0.759635148308851,0.0289720841124974,23198750,4911250,18287500,168,2623,44156,124
1,2,20,10,5,0.3,0.196695727047681,0.185106833086524,0.0115888939611563,0.777711771366887,0.76348745793028,0.0142243134366076,19162500,4301250,14861250,175,3384,43395,117
