fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,30,0,0,0.154723127035831,0.154723127035831,0.0258342381469417,0.714032223186722,0.671515712525176,0.0425165106615462,6592500,428750,6163750,29,788,22670,48
1,2,30,0,5,0.16110883797054,0.16110883797054,0.0245739980458696,0.709850438976798,0.672858538000494,0.0369919009763043,7020000,507500,6512500,29,725,22733,48
1,2,30,0,10,0.159628722970216,0.159628722970216,0.0182526626497638,0.708346724916871,0.679394673874169,0.0289520510427023,6885000,558750,6326250,30,723,22735,47
1,2,30,0,15,0.160683412997051,0.160683412997051,0.0223070292332131,0.710434145988526,0.678904436002228,0.031529709986298,6998750,530000,6468750,30,746,22712,47
1,2,30,5,0,0.154852678151181,0.154852678151181,0.0208855217121148,0.717906289945299,0.683863284809657,0.0340430051356423,6661250,488750,6172500,31,818,22640,46
1,2,30,5,5,0.152747564551215,0.152747564551215,0.0183156478122735,0.713712501321062,0.683948543569995,0.0297639577510677,6423750,493750,5930000,31,814,22644,46
1,2,30,5,10,0.158301944416166,0.158301944416166,0.0197977892915124,0.706864325647988,0.678925750692312,0.0279385749556761,6761250,531250,6230000,30,745,22713,47
1,2,30,5,15,0.149288876330413,0.149288876330413,0.0189674167300659,0.709296091545921,0.677476351766573,0.0318197397793488,6068750,446250,5622500,30,813,22645,47
1,2,30,10,0,0.152060634770251,0.152060634770251,0.0165711242807406,0.712317729526471,0.684140375780754,0.0281773537457172,6346250,505000,5841250,31,805,22653,46
1,2,30,10,5,0.150047483380817,0.150047483380817,0.0154988722697056,0.708783433837674,0.683969858260079,0.0248135755775948,6127500,495000,5632500,31,813,22645,46
1,2,30,10,10,0.159329140461216,0.159329140461216,0.0105767412289703,0.70250365259244,0.686314474169364,0.0161891784230761,6765000,632500,6132500,31,703,22755,46
1,2,30,10,15,0.150983830118839,0.150983830118839,0.0176504967855056,0.705096463578261,0.678030533708767,0.0270659298694937,6157500,478750,5678750,30,787,22671,47
1,2,30,15,0,0.151830479614038,0.151830479614038,0.0217350763182882,0.712279836564615,0.677433722386404,0.0348461141782116,6326250,443750,5882500,30,815,22643,47
1,2,30,15,5,0.150019171779141,0.150019171779141,0.0122413940013633,0.706859426164023,0.684545354892358,0.0223140712716653,6100000,528750,5571250,31,786,22672,46
1,2,30,15,10,0.150275916436736,0.150275916436736,0.0186969690683153,0.701782420730251,0.672005950397118,0.0297764703331338,6055000,457500,5597500,29,765,22693,48
1,2,30,15,15,0.151772341487768,0.151772341487768,0.0232140311112762,0.70137870528734,0.665768220184624,0.035610485102716,6171250,423750,5747500,28,753,22705,49
1,4,30,0,0,0.196357716960016,0.196357716960016,0.0651487197716377,0.760752667412755,0.666237143366481,0.0945155240462735,10503750,451250,10052500,28,731,22727,49
1,4,30,0,5,0.191069786451415,0.191069786451415,0.0568105271921559,0.752227728177553,0.672474873578975,0.0797528545985781,9956250,485000,9471250,29,743,22715,48
1,4,30,0,10,0.181200453001133,0.181200453001133,0.0308245131515084,0.736591567982668,0.692360372171098,0.0442311958115698,8948750,655000,8293750,32,724,22734,45
1,4,30,0,15,0.173329169269207,0.173329169269207,0.0299257275866063,0.723189664086629,0.679714394225435,0.0434752698611941,8132500,577500,7555000,30,708,22750,47
1,4,30,5,0,0.185241730279898,0.185241730279898,0.0548879127752427,0.74495072550975,0.66608794053589,0.0788627849738593,9408750,442500,8966250,28,738,22720,49
1,4,30,5,5,0.175186968548304,0.175186968548304,0.033810908227852,0.729290882213705,0.679394673874169,0.0498962083395357,8388750,558750,7830000,30,723,22735,47
1,4,30,5,10,0.16916308788101,0.16916308788101,0.0186776509878059,0.716142387500078,0.686570250450377,0.0295721370497016,7706250,647500,7058750,31,691,22767,46
1,4,30,5,15,0.168695280802904,0.168695280802904,0.0277817725424571,0.711540146812698,0.673561922773279,0.0379782240394186,7582500,548750,7033750,29,692,22766,48
1,4,30,10,0,0.178497516556291,0.178497516556291,0.0466707745600579,0.731676710359975,0.666343716816903,0.0653329935430721,8660000,457500,8202500,28,726,22732,49
1,4,30,10,5,0.17220172201722,0.17220172201722,0.0355381970407828,0.724990519634248,0.672879852690578,0.0521106669436694,8095000,508750,7586250,29,724,22734,48
