max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,diff_percent
3,40,10,0,0.173450643714631,0.153629991952737,2.50267580634792
3,30,10,15,0.158870649739101,0.153108913490692,0.727511793490731
3,40,10,15,0.159109371565057,0.1527089033477,0.808161969107185
3,40,5,15,0.162309685528885,0.152679038614904,1.2160239391036
3,40,5,10,0.16427206601958,0.152652211992238,1.46719330407841
3,30,5,10,0.162933274358387,0.152454498465192,1.32311385231326
3,30,10,10,0.160653515537537,0.152338846652357,1.04986056496588
3,40,15,0,0.170564285154281,0.152299240810946,2.3062553708661
3,30,0,15,0.163723083582033,0.152198797152913,1.45512635901459
3,40,0,20,0.161619884167027,0.152168329595079,1.19341065287604
3,40,15,5,0.163538849514607,0.15181449780556,1.48038781569003
3,40,10,10,0.161244365365926,0.151727035032709,1.20171589976454
3,30,20,0,0.164160278109956,0.151554334292283,1.59170298674651
3,30,5,15,0.161851339465994,0.151510731412518,1.305667942167
2,30,0,0,0.160772611022506,0.151498492967151,1.17100644121978
3,30,10,0,0.165816682503118,0.151439417224117,1.81536078669099
2,40,0,15,0.159672818183807,0.151438772703103,1.03968056451822
3,30,0,20,0.161133426050024,0.151243219927712,1.24879746031816
2,40,15,0,0.162424250575836,0.151237241958106,1.41253961521203
2,40,5,10,0.159488850245586,0.151078076976112,1.0619952878975
3,40,20,5,0.163645378805749,0.150944677819328,1.60366760206551
2,40,0,20,0.156461997102519,0.150912875557259,0.700665770461903
3,40,0,15,0.164177131623989,0.150858589121381,1.68168002230763
3,40,5,5,0.172058706910919,0.150740465489406,2.69177056740769
3,40,20,0,0.170007293950759,0.15067901382012,2.44050597540194
3,30,0,10,0.16684313384942,0.15064057204767,2.04583380552873
2,40,10,10,0.155971392109391,0.150572341578778,0.681716893194811
3,30,15,0,0.163765013694309,0.150525770729658,1.67166718128278
3,30,10,5,0.162374630882118,0.150514683782781,1.4975089127563
2,40,15,5,0.157362340166758,0.150331643078431,0.887738491957429
3,40,5,20,0.157350189993972,0.150288956622729,0.891594188399023
3,40,10,5,0.165182635841643,0.15025945107083,1.88429189555592
2,40,5,0,0.164567662531702,0.150199893223732,1.81416176774648
3,40,0,10,0.171210183858385,0.150080623385347,2.6679465655262
2,40,5,5,0.162705911991001,0.149921631952045,1.61422080057848
2,40,20,0,0.16135417848788,0.149917860769805,1.44401889557222
2,30,0,10,0.157091377532499,0.149775600874821,0.923734368867544
3,40,0,0,0.185609293704401,0.149609202951774,4.54558998539795
3,30,15,5,0.160947590918818,0.14953540439975,1.44097194390503
2,40,0,5,0.164376448558707,0.149512852188585,1.87676790237235
2,30,5,0,0.156103659922156,0.149506527094846,0.832994036548903
3,30,5,20,0.156138030230591,0.149473635669947,0.841486911290482
2,30,0,15,0.154000173181985,0.149359022086904,0.586019909879725
3,40,15,10,0.155832515097332,0.149266705353731,0.829038993863176
1,40,0,0,0.153978692117934,0.149237799197098,0.598613918250219
1,40,0,5,0.153978692117934,0.149237799197098,0.598613918250219
1,40,0,10,0.153978692117934,0.149237799197098,0.598613918250219
1,40,0,15,0.153978692117934,0.149237799197098,0.598613918250219
3,30,5,5,0.163784290351798,0.149089577282829,1.85544367161706
2,40,10,5,0.161025708899564,0.149016877828037,1.51630790683738
3,40,10,20,0.154567666050742,0.148957816860442,0.708333611552342
2,30,0,5,0.15710942412626,0.148894411392549,1.03727737435068
2,40,5,15,0.155429628885508,0.148815620341879,0.835124866930018
3,30,0,0,0.172943387822741,0.148797842504007,3.04876311970969
3,40,5,0,0.177799670828612,0.148752870093758,3.66762538004348
3,30,10,20,0.154039558014845,0.148543928240138,0.693911574807353
2,30,5,5,0.157008166769402,0.148529662877565,1.07054736741407
3,30,20,5,0.159669484112142,0.148463388304575,1.4149496796635
3,20,5,15,0.150865302478233,0.14843380284141,0.307015903781815
3,30,15,10,0.154865780443106,0.148341271658604,0.823824084063045
2,40,0,0,0.163925117812864,0.148235687834865,1.98104266666038
3,40,0,5,0.182672493368005,0.148045074283699,4.37226812819394
2,40,10,0,0.163055408011348,0.147953708000845,1.90683231333847
2,40,0,10,0.163804044000547,0.147900523629918,2.00807501920053
3,30,0,5,0.169617374589455,0.147840965636687,2.74962158106265
3,30,5,0,0.16648683938042,0.147551825280245,2.3908498192007
2,30,10,10,0.151940641062658,0.147449629788226,0.567062344749106
2,40,20,5,0.154560760583862,0.146912387610344,0.965729998624293
3,20,10,10,0.152961887693553,0.146725435384709,0.787452324892499
2,30,5,10,0.153737700894476,0.146128492156619,0.960784884495945
2,30,0,20,0.152290705152414,0.145993757465715,0.795090838518101
2,40,10,15,0.150482644750662,0.145920842413174,0.576000854085014
1,40,5,10,0.151377110725195,0.145884293040833,0.693556503210574
2,30,15,5,0.149934441078643,0.145850342193801,0.515683116408783
2,30,5,15,0.153507513281595,0.14580167116461,0.972986401526438
1,40,5,15,0.151419217309014,0.145798381658954,0.709720828651424
1,40,0,20,0.153292689697812,0.145762101027923,0.950857837476472
2,30,10,0,0.153998578844753,0.145662065356455,1.05261879715611
2,40,15,10,0.150584278674375,0.145558291829927,0.634611607616443
3,20,5,10,0.150943517789237,0.145521249236375,0.684648541621478
2,30,20,5,0.148359812751424,0.1452684906995,0.390329087152041
2,30,10,15,0.149633233376084,0.14519988407,0.559781594607221
